step,trajectory,condition,r,defect_density,n_defects
0,P3,clean,0.012869278,0.32568359375,1334
1,P3,clean,0.014076268,0.310546875,1272
2,P3,clean,0.015344159,0.298828125,1224
3,P3,clean,0.016498376,0.28076171875,1150
4,P3,clean,0.01766151,0.26708984375,1094
5,P3,clean,0.018931687,0.2529296875,1036
6,P3,clean,0.020287888,0.24072265625,986
7,P3,clean,0.021501506,0.2265625,928
8,P3,clean,0.022793604,0.2158203125,884
9,P3,clean,0.024063336,0.20849609375,854
10,P3,clean,0.025325408,0.201171875,824
11,P3,clean,0.02661569,0.1884765625,772
12,P3,clean,0.027803859,0.1787109375,732
13,P3,clean,0.02898686,0.16552734375,678
0,P4,clean,0.012869278,0.32568359375,1334
1,P4,clean,0.01407365,0.310546875,1272
2,P4,clean,0.015333637,0.298828125,1224
3,P4,clean,0.016496541,0.28125,1152
4,P4,clean,0.017667854,0.26708984375,1094
5,P4,clean,0.018959137,0.25732421875,1054
6,P4,clean,0.02034869,0.24462890625,1002
7,P4,clean,0.02163082,0.23046875,944
8,P4,clean,0.022966856,0.21875,896
9,P4,clean,0.024281075,0.2119140625,868
10,P4,clean,0.025412628,0.20458984375,838
11,P4,clean,0.02619825,0.197265625,808
12,P4,clean,0.026871806,0.18505859375,758
13,P4,clean,0.02751988,0.17822265625,730
