step,trajectory,condition,r,defect_density,n_defects
0,P3,clean,0.012869278,0.32568359375,1334
1,P3,clean,0.014075891,0.310546875,1272
2,P3,clean,0.015342608,0.298828125,1224
3,P3,clean,0.01649815,0.28076171875,1150
4,P3,clean,0.0176642,0.267578125,1096
5,P3,clean,0.01893349,0.2529296875,1036
6,P3,clean,0.020284079,0.2412109375,988
7,P3,clean,0.021498948,0.22705078125,930
8,P3,clean,0.022785619,0.2158203125,884
9,P3,clean,0.024050614,0.208984375,856
10,P3,clean,0.025306351,0.201171875,824
11,P3,clean,0.026585395,0.1884765625,772
12,P3,clean,0.02777624,0.1787109375,732
13,P3,clean,0.028962757,0.16552734375,678
0,P4,clean,0.012869278,0.32568359375,1334
1,P4,clean,0.014072914,0.310546875,1272
2,P4,clean,0.01533076,0.298828125,1224
3,P4,clean,0.016495904,0.2802734375,1148
4,P4,clean,0.017670028,0.26806640625,1098
5,P4,clean,0.018964903,0.2578125,1056
6,P4,clean,0.020358695,0.24658203125,1010
7,P4,clean,0.021656526,0.23095703125,946
8,P4,clean,0.023000075,0.2216796875,908
9,P4,clean,0.024322534,0.21337890625,874
10,P4,clean,0.025417961,0.20556640625,842
11,P4,clean,0.02607468,0.19921875,816
12,P4,clean,0.026629133,0.18701171875,766
13,P4,clean,0.027155187,0.18017578125,738
