step,trajectory,condition,r,defect_density,n_defects
0,P3,clean,0.012869278,0.32568359375,1334
1,P3,clean,0.014075514,0.310546875,1272
2,P3,clean,0.015341081,0.298828125,1224
3,P3,clean,0.016497923,0.28076171875,1150
4,P3,clean,0.01766622,0.267578125,1096
5,P3,clean,0.018934822,0.2529296875,1036
6,P3,clean,0.020281123,0.24169921875,990
7,P3,clean,0.021497011,0.22705078125,930
8,P3,clean,0.022780174,0.2158203125,884
9,P3,clean,0.02404206,0.208984375,856
10,P3,clean,0.025294226,0.201171875,824
11,P3,clean,0.026567264,0.1884765625,772
12,P3,clean,0.027759163,0.17919921875,734
13,P3,clean,0.028947132,0.166015625,680
0,P4,clean,0.012869278,0.32568359375,1334
1,P4,clean,0.014072546,0.310546875,1272
2,P4,clean,0.015329339,0.298828125,1224
3,P4,clean,0.016495565,0.2802734375,1148
4,P4,clean,0.017673869,0.26708984375,1094
5,P4,clean,0.01895699,0.255859375,1048
6,P4,clean,0.020321373,0.244140625,1000
7,P4,clean,0.021587659,0.2294921875,940
8,P4,clean,0.022897324,0.21826171875,894
9,P4,clean,0.024186384,0.21142578125,866
10,P4,clean,0.025344497,0.20361328125,834
11,P4,clean,0.026260948,0.1943359375,796
12,P4,clean,0.027090715,0.1826171875,748
13,P4,clean,0.027901815,0.17529296875,718
